EID,Status
2-s2.0-85079786193,success
2-s2.0-85085600049,success
2-s2.0-85071506977,success
2-s2.0-85079448864,success
2-s2.0-85078514009,empty
2-s2.0-85093980168,empty
2-s2.0-85071991973,success
2-s2.0-85098877351,empty
2-s2.0-85091628559,empty
2-s2.0-85128363362,success
2-s2.0-85082975751,empty
2-s2.0-85084414003,success
2-s2.0-85072704383,empty
2-s2.0-85097849494,empty
2-s2.0-85089365394,empty
2-s2.0-85086286553,empty
2-s2.0-85123861704,empty
2-s2.0-85099408752,empty
2-s2.0-85082509229,empty
2-s2.0-85105893351,success
2-s2.0-85083689492,empty
2-s2.0-85084300363,success
2-s2.0-85138457469,success
2-s2.0-85090949428,success
2-s2.0-85084531540,success
2-s2.0-85098757649,success
2-s2.0-85074855660,empty
2-s2.0-85082320426,empty
2-s2.0-85088175819,success
2-s2.0-85094114118,success
2-s2.0-85093934285,success
2-s2.0-85084613917,empty
2-s2.0-85081641815,success
2-s2.0-85104016668,empty
2-s2.0-85086310008,success
2-s2.0-85096359506,empty
2-s2.0-85087033400,empty
2-s2.0-85097259985,empty
2-s2.0-85092526596,empty
2-s2.0-85092468339,success
2-s2.0-85077940691,success
2-s2.0-85115187341,success
2-s2.0-85122836765,empty
2-s2.0-85106960716,success
2-s2.0-85087148576,success
2-s2.0-85094315513,success
2-s2.0-85131745333,success
2-s2.0-85110855981,empty
2-s2.0-85138200851,success
2-s2.0-85088024143,success
2-s2.0-85085313451,empty
2-s2.0-85091225689,empty
2-s2.0-85078153835,success
2-s2.0-85079022782,empty
2-s2.0-85083849812,empty
2-s2.0-85091594467,empty
2-s2.0-85084786871,empty
2-s2.0-85077493453,success
2-s2.0-85102661411,success
2-s2.0-85102964438,empty
2-s2.0-85128678328,empty
2-s2.0-85099658747,empty
2-s2.0-85078828835,success
2-s2.0-85130741631,empty
2-s2.0-85084693111,success
2-s2.0-85092899420,empty
2-s2.0-85098777224,success
2-s2.0-85097400724,empty
2-s2.0-85104250272,empty
2-s2.0-85095700061,empty
2-s2.0-85073281564,empty
2-s2.0-85088201406,success
2-s2.0-85099226271,success
2-s2.0-85075519755,empty
2-s2.0-85079607136,success
2-s2.0-85116524246,success
2-s2.0-85083002886,empty
2-s2.0-85099730561,empty
2-s2.0-85099664177,empty
2-s2.0-85094324334,success
2-s2.0-85085295377,success
2-s2.0-85089730557,empty
2-s2.0-85086717269,empty
2-s2.0-85102286415,empty
2-s2.0-85089684836,empty
2-s2.0-85081645498,success
2-s2.0-85082736453,success
2-s2.0-85089733299,empty
2-s2.0-85097941462,empty
2-s2.0-85087111197,empty
2-s2.0-85116537453,success
2-s2.0-85135461030,success
2-s2.0-85114093270,empty
2-s2.0-85064704140,empty
2-s2.0-85074681666,empty
2-s2.0-85093092199,empty
2-s2.0-85104940722,empty
2-s2.0-85112675653,empty
2-s2.0-85087210206,empty
2-s2.0-85078980714,empty
